0.339,0.427,0.387,0.341,0.334
0.355,0.434,0.41,0.397,0.394
0.427,0.532,0.464,0.453,0.445
0.507,0.485,0.446,0.454,0.446
0.345,0.318,0.288,0.288,0.282
0.612,0.503,0.487,0.475,0.472
0.394,0.408,0.389,0.358,0.354
0.304,0.291,0.269,0.251,0.247
0.406,0.419,0.385,0.378,0.374
0.357,0.402,0.377,0.35,0.344
0.4,0.414,0.366,0.363,0.356
0.393,0.402,0.358,0.357,0.347
0.358,0.383,0.333,0.321,0.314
0.422,0.423,0.385,0.399,0.393
0.482,0.489,0.462,0.441,0.435
0.442,0.469,0.421,0.404,0.397
0.424,0.435,0.408,0.385,0.376
0.367,0.481,0.451,0.427,0.42
0.416,0.41,0.374,0.352,0.346
0.486,0.446,0.413,0.408,0.403
0.463,0.434,0.402,0.391,0.383
0.387,0.491,0.442,0.401,0.393
0.398,0.372,0.344,0.326,0.321
0.326,0.317,0.288,0.296,0.291
0.333,0.493,0.44,0.463,0.448
0.339,0.48,0.431,0.407,0.397
0.47,0.449,0.422,0.402,0.396
0.368,0.464,0.429,0.43,0.424
0.384,0.382,0.338,0.323,0.316
0.396,0.419,0.385,0.371,0.366
0.375,0.392,0.358,0.324,0.319
0.472,0.474,0.436,0.45,0.44
0.504,0.436,0.415,0.409,0.404
0.475,0.428,0.412,0.403,0.4
0.394,0.405,0.376,0.377,0.37
0.426,0.527,0.504,0.48,0.476
0.464,0.43,0.411,0.381,0.379
0.412,0.488,0.45,0.426,0.416
0.349,0.353,0.333,0.295,0.292
0.322,0.421,0.366,0.336,0.329
0.373,0.375,0.35,0.346,0.34
0.592,0.511,0.483,0.476,0.469
0.282,0.293,0.255,0.244,0.239
0.303,0.403,0.34,0.38,0.37
0.311,0.327,0.296,0.261,0.253
0.38,0.39,0.365,0.329,0.325
0.416,0.529,0.49,0.479,0.474
0.37,0.465,0.426,0.422,0.413
0.442,0.437,0.401,0.386,0.378
0.227,0.388,0.361,0.271,0.267
